Minsk Kulman 11,27.577237 53.921838
Minsk Kulman 12,27.581801 53.921128
Brest Lenina 2,23.681684 52.096918
Brest Lenina 3,23.679654 52.096094
Minsk Luchiny 40,27.580705 53.838082
Minsk Prushinskih 28,27.585654 53.834766
Minsk Prushinskih 26,27.586678 53.835058
Minsk Prushinskih 24,27.584972 53.835531
Minsk Prushinskih 22,27.58357 53.835515
Minsk Prushinskih 20,27.584298 53.836206
Minsk Prushinskih 18,27.582555 53.836706
Minsk Prushinskih 16,27.583579 53.837019
Minsk Prushinskih 14,27.585088 53.837168
Minsk Prushinskih 12,27.584837 53.836722
Minsk Prushinskih 10,27.587271 53.836052
Minsk Prushinskih 8,27.585915 53.836275
Minsk Prushinskih 6,27.586822 53.837125
Minsk Prushinskih 30,27.584064 53.83475
Minsk Prushinskih 32,27.583031 53.834984
Minsk Prushinskih 36,27.580821 53.834904
Minsk Prushinskih 38,27.580247 53.835069
Minsk Prushinskih 40,27.579456 53.83534
Minsk Prushinskih 42,27.579222 53.835792
Minsk Prushinskih 44,27.57818 53.836312
Minsk Prushinskih 46,27.577704 53.835994
Minsk Prushinskih 48,27.580166 53.836971
Minsk Prushinskih 50,27.578046 53.837093
Minsk Prushinskih 52,27.577345 53.836923
Minsk Prushinskih 54,27.576842 53.836504
Minsk Prushinskih 56,27.576626 53.835818
Minsk Prushinskih 58,27.575764 53.835845
Minsk Prushinskih 60,27.572799 53.835797
Minsk Prushinskih 62,27.570096 53.835956
Minsk Prushinskih 64,27.570742 53.836918
Minsk Prushinskih 66,27.569485 53.836897
Minsk Prushinskih 68,27.569485 53.836897
Minsk Prushinskih 70,27.567437 53.836323
Minsk Prushinskih 72,27.568434 53.836748
Minsk Gikalo 9,27.594718 53.912139
Grodno Lenina 9,23.841216 53.680319
Muhosransk vulitsa 11,27.560753 53.8704
Minsk asasas 11,27.561831 53.902257
Minsk asasasas 1,27.561831 53.902257
